largo de la clave,tolerancia
125,0.007768187422934648
126,0.006411837237977805
127,0.0069050554870530205
128,0.00708258914824167
129,0.022564734895191122
130,0.006411837237977805
131,0.022441430332922317
132,0.012951432129514322
133,0.00708258914824167
134,0.006411837237977805
135,0.0069050554870530205
136,0.012951432129514322
137,0.0076448828606658446
138,0.012951432129514322
139,0.012951432129514322
140,0.012951432129514322
141,0.01569115815691158
142,0.013449564134495641
143,0.04134495641344956
144,0.012951432129514322
145,0.02714819427148194
146,0.04657534246575343
147,0.20149625935162094
148,0.023163138231631384
149,0.013449564134495641
150,0.012951432129514322
151,0.014962593516209476
152,0.012951432129514322
153,0.015461346633416459
154,0.007768187422934648
155,0.015461346633416459
156,0.014962593516209476
157,0.10809464508094645
158,0.015461346633416459
159,0.059850374064837904
160,0.012468827930174564
161,0.014962593516209476
162,0.012468827930174564
163,0.10773067331670823
164,0.012468827930174564
165,0.18635437881873726
166,0.045824847250509164
167,0.014463840399002495
168,0.012468827930174564
169,0.0845213849287169
170,0.022443890274314215
171,0.04139650872817955
172,0.04684317718940937
173,0.015461346633416459
174,0.012468827930174564
175,0.10822942643391521
176,0.025458248472505093
177,0.1868583162217659
178,0.028513238289205704
179,0.025458248472505093
180,0.015461346633416459
181,0.2209775967413442
182,0.012468827930174564
183,0.05702647657841141
184,0.025458248472505093
185,0.03054989816700611
186,0.06365503080082136
187,0.47046843177189407
188,0.031568228105906315
189,0.8625254582484725
190,0.028747433264887063
191,0.22176591375770022
192,0.02053388090349076
193,0.45585215605749485
194,0.08829568788501027
195,0.17864476386036962
196,0.030800821355236138
197,0.21560574948665298
198,0.02053388090349076
199,0.21765913757700206
200,0.02053388090349076
201,0.06109979633401222
202,0.21765913757700206
203,0.1971252566735113
204,0.06382978723404255
205,0.2032854209445585
206,0.043121149897330596
207,0.21765913757700206
208,0.06382978723404255
209,0.22176591375770022
210,0.02053388090349076
211,0.08829568788501027
212,0.052742616033755275
213,0.38193018480492813
214,0.05106382978723404
215,0.41139240506329117
216,0.0425531914893617
217,0.22127659574468084
218,0.08829568788501027
219,0.15319148936170213
220,0.06382978723404255
221,0.04680851063829787
222,0.1829787234042553
223,0.08936170212765958
224,0.06382978723404255
225,0.8340425531914893
226,0.3574468085106383
227,0.7739130434782608
228,0.0425531914893617
229,0.41702127659574467
230,0.2127659574468085
231,0.19148936170212766
232,0.06382978723404255
233,0.4127659574468085
234,0.06382978723404255
235,0.07659574468085106
236,0.06382978723404255
237,0.9130434782608695
238,0.4434782608695652
239,0.22176591375770022
240,0.06382978723404255
241,0.08936170212765958
242,0.06086956521739131
243,0.13191489361702127
244,0.06382978723404255
245,0.8260869565217391
246,0.06382978723404255
247,0.22127659574468084
248,0.13043478260869565
249,0.8608695652173913
250,0.41739130434782606
251,0.05217391304347826
252,0.06086956521739131
253,0.37872340425531914
254,0.17391304347826086
255,0.8608695652173913
256,0.19130434782608696
257,0.3565217391304348
258,0.1826086956521739
259,0.9391304347826087
260,0.06086956521739131
261,0.13043478260869565
262,0.9652173913043478
263,0.9739130434782609
